Player Name,Total
LeBron James,19
Kareem Abdul-Jabbar,15
Kobe Bryant,15
Tim Duncan,15
Karl Malone,14
Shaquille O'Neal,14
Bob Cousy,12
Julius Erving,12
Dirk Nowitzki,12
Hakeem Olajuwon,12
Dolph Schayes,12
Jerry West,12
Charles Barkley,11
John Havlicek,11
Michael Jordan,11
Chris Paul,11
Bob Pettit,11
Oscar Robertson,11
Bill Russell,11
John Stockton,11
Rick Barry,10
Elgin Baylor,10
Larry Bird,10
Wilt Chamberlain,10
Kevin Durant,10
Magic Johnson,10
David Robinson,10
Stephen Curry,9
Kevin Garnett,9
George Gervin,9
Gary Payton,9
Russell Westbrook,9
Dwight Howard,8
Moses Malone,8
Dwyane Wade,8
Giannis Antetokounmpo,7
Patrick Ewing,7
Hal Greer,7
James Harden,7
Allen Iverson,7
Damian Lillard,7
Tracy McGrady,7
Steve Nash,7
Scottie Pippen,7
Bill Sharman,7
Dominique Wilkins,7
Carmelo Anthony,6
Walt Frazier,6
Paul George,6
Elvin Hayes,6
Jason Kidd,6
George Mikan,6
LaMarcus Aldridge,5
Tiny Archibald,5
Jimmy Butler,5
Billy Cunningham,5
Mel Daniels,5
Bob Davies,5
Clyde Drexler,5
Joel Embiid,5
Artis Gilmore,5
Blake Griffin,5
Tim Hardaway,5
Spencer Haywood,5
Grant Hill,5
Dan Issel,5
Kevin Johnson,5
Neil Johnston,5
Nikola Jokić,5
Kawhi Leonard,5
Jerry Lucas,5
Slater Martin,5
George McGinnis,5
Yao Ming,5
Sidney Moncrief,5
Willis Reed,5
Mitch Richmond,5
Amar'e Stoudemire,5
Isiah Thomas,5
Ben Wallace,5
Chris Webber,5
Paul Arizin,4
Mack Calvin,4
Louie Dampier,4
Anthony Davis,4
Luka Dončić,4
Donnie Freeman,4
Joe Fulks,4
Pau Gasol,4
Rudy Gobert,4
Tom Heinsohn,4
Gus Johnson,4
Bernard King,4
Ed Macauley,4
Pete Maravich,4
Vern Mikkelsen,4
Chris Mullin,4
Tony Parker,4
Paul Pierce,4
Jim Pollard,4
Mark Price,4
Paul Westphal,4
