Player Name,Total
Bill Russell,11
Sam Jones,10
John Havlicek,8
Tom Heinsohn,8
K.C. Jones,8
Tom Sanders,8
Robert Horry,7
Jim Loscutoff,7
Frank Ramsey,7
Kareem Abdul-Jabbar,6
Bob Cousy,6
Michael Jordan,6
Scottie Pippen,6
Kobe Bryant,5
Michael Cooper,5
Tim Duncan,5
Derek Fisher,5
Ron Harper,5
Magic Johnson,5
Steve Kerr,5
Slater Martin,5
George Mikan,5
Don Nelson,5
Jim Pollard,5
Dennis Rodman,5
Larry Siegfried,5
Stephen Curry,4
Manu Ginóbili,4
Horace Grant,4
Draymond Green,4
Gene Guarilia,4
Andre Iguodala,4
LeBron James,4
Vern Mikkelsen,4
Shaquille O'Neal,4
Robert Parish,4
Tony Parker,4
Will Perdue,4
Kurt Rambis,4
John Salley,4
Pep Saul,4
Bill Sharman,4
Klay Thompson,4
Jamaal Wilkes,4
B.J. Armstrong,3
Larry Bird,3
Bruce Bowen,3
Randy Brown,3
Jud Buechler,3
Bill Cartwright,3
Sam Cassell,3
Gene Conley,3
James Edwards,3
Mario Elie,3
Rick Fox,3
Devean George,3
A.C. Green,3
Danny Green,3
Bob Harrison,3
Udonis Haslem,3
Gerald Henderson,3
Dennis Johnson,3
James Jones,3
Stacey King,3
Toni Kukoč,3
Shaun Livingston,3
Luc Longley,3
Kevon Looney,3
Clyde Lovellette,3
Patrick McCaw,3
JaVale McGee,3
Kevin McHale,3
Willie Naulls,3
John Paxson,3
Byron Scott,3
Brian Shaw,3
Paul Silas,3
Dickey Simpkins,3
Whitey Skoog,3
Dwyane Wade,3
Bill Wennington,3
Scott Williams,3
James Worthy,3
