Player Name,Total_All_Star_Selections,Total_All_NBA_Selections,Total_Championships
Kareem Abdul-Jabbar,19,15,6
LeBron James,19,19,4
Kobe Bryant,18,15,5
Julius Erving,16,12,1
Tim Duncan,15,15,5
Kevin Garnett,15,9,1
Shaquille O'Neal,15,14,4
Michael Jordan,14,11,6
Karl Malone,14,14,0
Dirk Nowitzki,14,12,1
Jerry West,14,12,1
Wilt Chamberlain,13,10,2
Bob Cousy,13,12,6
Kevin Durant,13,10,2
John Havlicek,13,11,8
Moses Malone,13,8,1
Dwyane Wade,13,8,3
Rick Barry,12,10,1
Larry Bird,12,10,3
George Gervin,12,9,0
Elvin Hayes,12,6,1
Magic Johnson,12,10,5
Hakeem Olajuwon,12,12,2
Chris Paul,12,11,0
Oscar Robertson,12,11,1
Bill Russell,12,11,11
Dolph Schayes,12,12,1
Isiah Thomas,12,5,2
Charles Barkley,11,11,0
Elgin Baylor,11,10,1
Chris Bosh,11,1,2
Patrick Ewing,11,7,0
Artis Gilmore,11,5,1
Allen Iverson,11,7,0
Bob Pettit,11,11,1
Ray Allen,10,2,2
Carmelo Anthony,10,6,0
Paul Arizin,10,4,1
Clyde Drexler,10,5,1
Hal Greer,10,7,1
James Harden,10,7,0
Jason Kidd,10,6,1
Paul Pierce,10,4,1
David Robinson,10,10,2
John Stockton,10,11,0
Stephen Curry,9,9,4
Robert Parish,9,2,4
Gary Payton,9,9,1
Russell Westbrook,9,9,0
Lenny Wilkens,9,0,0
Dominique Wilkins,9,7,0
Vince Carter,8,2,0
Dave Cowens,8,3,2
Anthony Davis,8,4,1
Dave DeBusschere,8,1,2
Alex English,8,3,0
Larry Foust,8,2,0
Paul George,8,6,0
Dwight Howard,8,8,0
Kyrie Irving,8,3,1
Bob Lanier,8,0,0
Yao Ming,8,5,0
Dikembe Mutombo,8,3,0
Steve Nash,8,7,0
Bill Sharman,8,7,4
LaMarcus Aldridge,7,5,0
Giannis Antetokounmpo,7,7,1
Dave Bing,7,3,0
Louie Dampier,7,4,1
Mel Daniels,7,5,0
Walt Frazier,7,6,2
Harry Gallatin,7,2,0
Grant Hill,7,5,0
Dan Issel,7,5,1
Joe Johnson,7,1,0
Damian Lillard,7,7,0
Jerry Lucas,7,5,1
Ed Macauley,7,4,1
Slater Martin,7,5,5
Tracy McGrady,7,7,0
Dick McGuire,7,1,0
Kevin McHale,7,1,3
Alonzo Mourning,7,2,1
Scottie Pippen,7,7,6
Willis Reed,7,5,2
Jack Sikma,7,0,1
Nate Thurmond,7,0,0
Chet Walker,7,0,1
Jo Jo White,7,2,2
James Worthy,7,2,3
Tiny Archibald,6,5,1
Jimmy Butler,6,5,0
Larry Costello,6,1,1
Adrian Dantley,6,2,0
Walter Davis,6,2,0
DeMar DeRozan,6,3,0
Joe Dumars,6,3,2
Joel Embiid,6,5,0
Pau Gasol,6,4,2
Blake Griffin,6,5,0
Richie Guerin,6,3,0
Cliff Hagan,6,2,1
Tom Heinsohn,6,4,8
Bailey Howell,6,1,2
Lou Hudson,6,1,0
Neil Johnston,6,5,1
Jimmy Jones,6,3,0
Shawn Kemp,6,3,0
Kyle Lowry,6,1,0
George McGinnis,6,5,2
Vern Mikkelsen,6,4,4
Jermaine O'Neal,6,3,0
Tony Parker,6,4,4
Mitch Richmond,6,5,1
Amar'e Stoudemire,6,5,0
Jack Twyman,6,2,0
George Yardley,6,2,0
Zelmo Beaty,5,2,1
Chauncey Billups,5,3,1
Carl Braun,5,2,1
Mack Calvin,5,4,0
Billy Cunningham,5,5,1
Brad Daugherty,5,1,0
Wayne Embry,5,0,1
Donnie Freeman,5,4,1
Tom Gola,5,1,1
Gail Goodrich,5,1,1
Tim Hardaway,5,5,0
Connie Hawkins,5,3,1
Spencer Haywood,5,5,1
Al Horford,5,1,0
Dennis Johnson,5,2,3
Gus Johnson,5,4,1
Marques Johnson,5,3,0
Nikola Jokić,5,5,1
Bobby Jones,5,1,1
Sam Jones,5,3,10
Larry Kenon,5,0,1
Rudy LaRusso,5,0,0
Kawhi Leonard,5,5,2
Kevin Love,5,2,1
Maurice Lucas,5,1,1
Pete Maravich,5,4,0
Bob McAdoo,5,2,2
Reggie Miller,5,3,0
Sidney Moncrief,5,5,0
Chris Mullin,5,4,0
Don Ohl,5,0,0
Andy Phillip,5,2,1
Charlie Scott,5,2,1
Gene Shue,5,2,0
Ralph Simpson,5,3,0
David Thompson,5,3,0
Klay Thompson,5,2,4
Rudy Tomjanovich,5,0,0
Wes Unseld,5,1,1
John Wall,5,1,0
Bobby Wanzer,5,3,1
Chris Webber,5,5,0
Paul Westphal,5,4,1
Vin Baker,4,2,0
Walt Bellamy,4,0,0
Otis Birdsong,4,1,0
Rolando Blackman,4,0,0
Ron Boone,4,2,1
Roger Brown,1,3,3
Joe Caldwell,4,1,0
Tom Chambers,4,2,0
Maurice Cheeks,4,0,1
Doug Collins,4,0,0
DeMarcus Cousins,4,2,0
Bob Dandridge,4,1,2
Bob Davies,4,5,1
Luka Dončić,4,4,0
Dick Garmaker,4,1,0
Draymond Green,4,2,4
Johnny Green,4,0,0
Anfernee Hardaway,4,3,0
Mel Hutchins,4,0,0
Warren Jabali,4,1,1
Larry Jones,4,3,0
Bernard King,4,4,0
Bill Laimbeer,4,0,2
Clyde Lovellette,4,1,3
Shawn Marion,4,2,1
George Mikan,4,6,5
Paul Millsap,4,0,0
Donovan Mitchell,4,1,0
Earl Monroe,4,1,1
Willie Naulls,4,0,3
Bob Netolicky,4,1,2
Jim Pollard,4,4,5
Mark Price,4,4,0
Micheal Ray Richardson,4,0,0
Arnie Risen,4,1,2
Red Robbins,4,2,1
Alvin Robertson,4,1,0
Guy Rodgers,4,0,0
Rajon Rondo,4,1,2
Ralph Sampson,4,1,0
Latrell Sprewell,4,1,0
Jayson Tatum,4,3,0
Kemba Walker,4,1,0
Ben Wallace,4,5,1
Rasheed Wallace,4,0,1
Sidney Wicks,4,0,0
Mark Aguirre,3,0,2
Gilbert Arenas,3,3,0
Bradley Beal,3,1,0
John Beasley,3,2,0
Devin Booker,3,1,0
Bill Bridges,3,0,1
Larry Brown,3,1,1
Darel Carrier,3,0,0
Phil Chenier,3,1,1
Glen Combs,3,0,1
Terry Dischinger,3,0,0
Steve Francis,3,0,0
Marc Gasol,3,2,1
Rudy Gobert,3,4,0
Richard Hamilton,3,0,1
Kevin Johnson,3,5,0
Stew Johnson,3,0,0
Eddie Jones,3,1,0
Steve Jones,3,0,0
Bob Kauffman,3,0,0
Red Kerr,3,0,1
Billy Knight,3,1,0
Freddie Lewis,3,0,3
Bob Love,3,2,0
Dan Majerle,3,0,0
Bill Melchionni,3,1,1
Khris Middleton,3,0,1
Doug Moe,3,2,1
Jeff Mullins,3,0,1
Larry Nance,3,0,0
Billy Paultz,3,0,1
Glen Rice,3,2,1
Derrick Rose,3,1,0
Dan Roundfield,3,1,0
Brandon Roy,3,2,0
Domantas Sabonis,3,1,0
Detlef Schrempf,3,1,0
Paul Seymour,3,2,1
Ben Simmons,3,1,0
Peja Stojaković,3,1,1
Maurice Stokes,3,3,0
George Thompson,3,0,0
Karl-Anthony Towns,3,2,0
Dick Van Arsdale,3,0,0
Tom Van Arsdale,3,0,0
Norm Van Lier,3,1,0
Antoine Walker,3,0,1
Jamaal Wilkes,3,0,4
Buck Williams,3,1,0
Deron Williams,3,2,0
Willie Wise,3,2,1
Bam Adebayo,2,0,0
Marvin Barnes,2,1,0
Leo Barnhorst,2,0,0
Byron Beck,2,0,0
Art Becker,2,0,1
Carlos Boozer,2,1,0
Elton Brand,2,1,0
Terrell Brandon,2,0,0
Frankie Brian,2,2,0
John Brisker,2,1,0
Jaylen Brown,2,1,0
Don Buse,2,1,1
Caron Butler,2,0,1
Archie Clark,2,1,0
